generation_technology	g_max_age	g_is_variable	g_is_baseload	g_is_flexible_baseload	g_is_cogen	g_competes_for_space	g_variable_o_m	g_energy_source	g_dbid	g_scheduled_outage_rate	g_forced_outage_rate	g_min_build_capacity	g_full_load_heat_rate	g_unit_size	g_ccs_capture_efficiency	g_ccs_energy_load	g_storage_efficiency	g_store_to_release_ratio
Bio_Liquid_Steam_Turbine_Cogen	20	0	1	0	1	1	4.480182	Bio_Liquid	106	0.03	0.08	0	.	.	0	.	0	.
Bio_Solid_Steam_Turbine_Cogen	20	0	1	0	1	1	4.480182	Bio_Solid	107	0.03	0.08	0	.	.	0	.	0	.
CCGT_Cogen_CCS	20	0	1	0	1	1	0	Gas_CCS	110	0.0602	0.0224	0	.	.	0.85	.	0	.
Gas_Combustion_Turbine_Cogen_CCS	20	0	1	0	1	1	0	Gas_CCS	111	0.0318	0.0413	0	.	.	0.85	.	0	.
Gas_Internal_Combustion_Engine_Cogen_CCS	20	0	1	0	1	1	0	Gas_CCS	112	0.0318	0.0413	0	.	.	0.85	.	0	.
Gas_Steam_Turbine_Cogen_CCS	45	0	1	0	1	1	0	Gas_CCS	113	0.026	0.1	0	.	.	0.85	.	0	.
Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	30	0	1	0	1	1	0	Bio_Gas_CCS	114	0.05	0.03	0	.	.	0.85	.	0	.
Bio_Liquid_Steam_Turbine_Cogen_CCS	20	0	1	0	1	1	0	Bio_Liquid_CCS	115	0.03	0.08	0	.	.	0.85	.	0	.
Bio_Solid_Steam_Turbine_Cogen_CCS	20	0	1	0	1	1	0	Bio_Solid_CCS	116	0.03	0.08	0	.	.	0.85	.	0	.
Coal_Steam_Turbine_Cogen_CCS	40	0	1	0	1	1	0	Coal_CCS	117	0.15	0.05	0	.	.	0.85	.	0	.
Hydro_RoR	45	1	0	0	0	0	0	Water	118	0.094	0.051	0	.	.	0	.	0	.
DistillateFuelOil_Combustion_Turbine	20	0	0	0	0	0	4.197648	DistillateFuelOil	119	0.0318	0.0413	0	.	.	0	.	0	.
DistillateFuelOil_Internal_Combustion_Engine	20	0	0	0	0	0	4.197648	DistillateFuelOil	120	0.0318	0.0413	0	.	.	0	.	0	.
Hydro_RoR_EP	45	1	0	0	0	0	0	Water	121	0.094	0.051	0	.	.	0	.	0	.
Hydro_NonPumped_New	45	1	0	0	0	0	0	Water	122	0.094	0.051	50	.	.	0	.	0	.
Hydro_RoR_RPS	45	1	0	0	0	0	0	Water_RPS	123	0.094	0.051	0	.	.	0	.	0	.
CSP_Trough_16h_Storage	25	1	0	0	0	1	0	Solar	124	0.05	0.025	50	.	.	0	.	0.95	.
Central_PV_1_Axis	20	1	0	0	0	1	0	Solar	125	0	0.02	1	.	.	0	.	0	.
Central_PV_Fixed	20	1	0	0	0	1	0	Solar	126	0	0.02	1	.	.	0	.	0	.
CSP_Tower_No_Storage	25	1	0	0	0	1	0	Solar	127	0.05	0.025	50	.	.	0	.	0	.
CSP_Tower_16h_Storage	25	1	0	0	0	1	0	Solar	128	0.05	0.025	50	.	.	0	.	0.95	.
